Row.names	PathwayMutatedGenes	BRCAXControl_NumNonMuts	BRCAXControl_NumMuts	BRCAXCancer_NumNonMuts	BRCAXCancer_NumMuts	BRCAXControl_MutationRate	BRCAXCancer_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
REACTOME_METABOLISM_OF_PROTEINS	PROC(1);CCT3(1),EIF3A(1),FBXW5(1),FBXW9(1),KIF13A(1),PIGG(1),PIGW(1),PROC(1),PROZ(1),RPL7(2),RPS16(1),SPHK1(1)	6	1	2	9	0.142857142857	0.818181818182	20.6716205525828	0.0090497737556561	2.81092488361014	0.00365894654263016
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	;PIK3CA(2),PIK3R5(1),PSEN2(3),SHC2(1)	7	0	4	7	0	0.636363636364	NA	0.010369532428356	2.69986225543955	0.00619546037519344
KEGG_VITAMIN_DIGESTION_AND_ABSORPTION	;MMACHC(3),PNLIP(1),SCARB1(2),SLC5A6(1)	7	0	4	7	0	0.636363636364	NA	0.010369532428356	2.69986225543955	0.00619546037519344
KEGG_ARACHIDONIC_ACID_METABOLISM	;AKR1C3(1),HPGDS(2),PLA2G6(1),TBXAS1(1)	7	0	6	5	0	0.454545454545	NA	0.053921568627451	2.09895078684432	0.0255641849640354
KEGG_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS	;ILK(1),PIK3CA(2),PIK3R5(1),SHC2(1),WASF1(1)	7	0	6	5	0	0.454545454545	NA	0.053921568627451	2.09895078684432	0.0255641849640354
KEGG_CELL_ADHESION_MOLECULES_CAMS	;CLDN23(2),ITGA4(2),NLGN2(1)	7	0	6	5	0	0.454545454545	NA	0.053921568627451	2.09895078684432	0.0255641849640354
KEGG_CHAGAS_DISEASE_AMERICAN_TRYPANOSOMIASIS	;PIK3CA(2),PIK3R5(1),TGFB2(1),TGFBR1(3)	7	0	6	5	0	0.454545454545	NA	0.053921568627451	2.09895078684432	0.0255641849640354
KEGG_PANCREATIC_CANCER	;PIK3CA(2),PIK3R5(1),TGFB2(1),TGFBR1(3)	7	0	6	5	0	0.454545454545	NA	0.053921568627451	2.09895078684432	0.0255641849640354
KEGG_TYPE_II_DIABETES_MELLITUS	;MTOR(1),PIK3CA(2),PIK3R5(1),SLC2A4(1)	7	0	6	5	0	0.454545454545	NA	0.053921568627451	2.09895078684432	0.0255641849640354
KEGG_VEGF_SIGNALING_PATHWAY	;PIK3CA(2),PIK3R5(1),PLA2G6(1),SHC2(1),SPHK1(1)	7	0	6	5	0	0.454545454545	NA	0.053921568627451	2.09895078684432	0.0255641849640354
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	;EBP(1),NOLC1(1),PIK3CA(2),SLC2A4(1)	7	0	6	5	0	0.454545454545	NA	0.053921568627451	2.09895078684432	0.0255641849640354
KEGG_INOSITOL_PHOSPHATE_METABOLISM	PI4K2A(1);ALDH6A1(2),INPP5A(3),IPPK(1),PIK3CA(2)	6	1	4	7	0.142857142857	0.636363636364	9.10754410469849	0.0565610859728507	2.05413741494587	0.0281917363393606
KEGG_PHAGOSOME	COMP(1),CORO1A(1);ATP6V1E2(1),ATP6V1H(1),CANX(1),HGS(1),LAMP2(1),NCF2(2),SCARB1(2),TUBAL3(2)	6	1	4	7	0.142857142857	0.636363636364	9.10754410469849	0.0565610859728507	2.05413741494587	0.0281917363393606
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	PI4K2A(1);INPP5A(3),IPPK(1),PIK3CA(2),PIK3R5(1)	6	1	4	7	0.142857142857	0.636363636364	9.10754410469849	0.0565610859728507	2.05413741494587	0.0281917363393606
REACTOME_TRKA_SIGNALLING_FROM_THE_PLASMA_MEMBRANE	MDM2(1);MDM2(3),MTOR(1),PIK3CA(2),SHC2(1)	6	1	4	7	0.142857142857	0.636363636364	9.10754410469849	0.0565610859728507	2.05413741494587	0.0281917363393606
KEGG_GLIOMA	MDM2(1),PDGFRA(1);IGF1R(1),MDM2(3),MTOR(1),PIK3CA(2),PIK3R5(1),SHC2(1)	5	2	3	8	0.285714285714	0.727272727273	5.89913171950696	0.0882352941176468	1.83791242389894	0.0522421317037143
REACTOME_SIGNALING_IN_IMMUNE_SYSTEM	ECSIT(1),PROC(1),SLC16A8(1);CD96(1),COL1A1(1),ITGA4(2),MTOR(1),PF4V1(1),PIK3CA(2),PROC(1),PTPN6(1),RIPK3(1),TLR10(1),YES1(1)	5	2	3	8	0.285714285714	0.727272727273	5.89913171950696	0.0882352941176468	1.83791242389894	0.0522421317037143
BIOCARTA_EIF4_PATHWAY	;EIF4G3(1),MTOR(1),PIK3CA(2)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
BIOCARTA_MTOR_PATHWAY	;EIF3A(1),EIF4G3(1),MTOR(1),PIK3CA(2)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
KEGG_ADHERENS_JUNCTION	;CSNK2A2(1),IGF1R(1),PTPN6(1),TGFBR1(3),WASF1(1),YES1(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	;BLNK(1),PIK3CA(2),PIK3R5(1),PTPN6(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
KEGG_CHOLINERGIC_SYNAPSE	;ACHE(1),PIK3CA(2),PIK3R5(1),SLC5A7(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
KEGG_CITRATE_CYCLE_TCA_CYCLE	;ACO1(1),IDH3A(2),SUCLG2(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
KEGG_LEISHMANIASIS	;ITGA4(2),NCF2(2),PTPN6(1),TGFB2(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
KEGG_RENAL_CELL_CARCINOMA	;PIK3CA(2),PIK3R5(1),TGFB2(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
KEGG_RHEUMATOID_ARTHRITIS	;ATP6V1E2(1),ATP6V1H(1),MMP3(1),TGFB2(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	;CCT3(1),FBXW5(1),FBXW9(1),KIF13A(1),SPHK1(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
REACTOME_CD28_CO_STIMULATION	;MTOR(1),PIK3CA(2),YES1(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
REACTOME_CHAPERONIN_MEDIATED_PROTEIN_FOLDING	;CCT3(1),FBXW5(1),FBXW9(1),KIF13A(1),SPHK1(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
REACTOME_COLLAGEN_MEDIATED_ACTIVATION_CASCADE	;COL1A1(1),PIK3CA(2),PIK3R5(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	;MTOR(1),PIK3CA(2),PTPN6(1),YES1(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
REACTOME_FORMATION_OF_A_POOL_OF_FREE_40S_SUBUNITS	;EIF3A(1),RPL7(2),RPS16(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
REACTOME_GTP_HYDROLYSIS_AND_JOINING_OF_THE_60S_RIBOSOMAL_SUBUNIT	;EIF3A(1),RPL7(2),RPS16(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
REACTOME_PLATELET_ACTIVATION_TRIGGERS	;COL1A1(1),PIK3CA(2),PIK3R5(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
REACTOME_TRANSLATION	;EIF3A(1),RPL7(2),RPS16(1)	7	0	7	4	0	0.363636363636	NA	0.107843137254902	1.80906806746658	0.0522421318594541
KEGG_OSTEOCLAST_DIFFERENTIATION	GAB2(1),LILRA6(1),TRAF2(1),TREM2(1);BLNK(1),NCF2(2),PIK3CA(2),PIK3R5(1),TGFB2(1),TGFBR1(3),TRAF2(3),TREM2(1)	4	3	2	9	0.428571428571	0.818181818182	5.34092192931396	0.116515837104072	1.70940864689457	0.0598920059636238
REACTOME_SIGNALLING_BY_NGF	CASP3(1),MDM2(1),SORCS3(1);ARHGEF12(1),MCF2(1),MDM2(3),MTOR(1),PIK3CA(2),PSEN2(3),SHC2(1)	4	3	2	9	0.428571428571	0.818181818182	5.34092192931396	0.116515837104072	1.70940864689457	0.0598920059636238
BIOCARTA_TGFB_PATHWAY	SMAD7(1);SMAD7(2),TGFB2(1),TGFBR1(3)	6	1	5	6	0.142857142857	0.545454545455	6.44752723728181	0.111990950226244	1.70807612078828	0.0625725650207847
